| time |   in   |load |address|  out   |
| 0+   |      0 |  0  |    0  |      0 |
| 1    |      0 |  0  |    0  |      0 |
| 1+   |      0 |  1  |    0  |      0 |
| 2    |      0 |  1  |    0  |      0 |
| 2+   |   1313 |  0  |    0  |      0 |
| 3    |   1313 |  0  |    0  |      0 |
| 3+   |   1313 |  1  |   13  |      0 |
| 4    |   1313 |  1  |   13  |      0 |
| 4+   |   1313 |  0  |    0  |      0 |
| 5    |   1313 |  0  |    0  |      0 |
| 5+   |   4747 |  0  |   47  |      0 |
| 6    |   4747 |  0  |   47  |      0 |
| 6+   |   4747 |  1  |   47  |      0 |
| 7    |   4747 |  1  |   47  |      0 |
| 7+   |   4747 |  0  |   47  |      0 |
| 8    |   4747 |  0  |   47  |      0 |
| 8    |   4747 |  0  |   13  |      0 |
| 8+   |   6363 |  0  |   13  |      0 |
| 9    |   6363 |  0  |   13  |      0 |
| 9+   |   6363 |  1  |   63  |      0 |
| 10   |   6363 |  1  |   63  |      0 |
| 10+  |   6363 |  0  |   63  |      0 |
| 11   |   6363 |  0  |   63  |      0 |
| 11   |   6363 |  0  |   47  |      0 |
| 11   |   6363 |  0  |   63  |      0 |
| 11+  |   6363 |  0  |   40  |      0 |
| 12   |   6363 |  0  |   40  |      0 |
| 12   |   6363 |  0  |   41  |      0 |
| 12   |   6363 |  0  |   42  |      0 |
| 12   |   6363 |  0  |   43  |      0 |
| 12   |   6363 |  0  |   44  |      0 |
| 12   |   6363 |  0  |   45  |      0 |
| 12   |   6363 |  0  |   46  |      0 |
| 12   |   6363 |  0  |   47  |      0 |
| 12+  |  21845 |  1  |   40  |      0 |
| 13   |  21845 |  1  |   40  |      0 |
| 13+  |  21845 |  1  |   41  |      0 |
| 14   |  21845 |  1  |   41  |      0 |
| 14+  |  21845 |  1  |   42  |      0 |
| 15   |  21845 |  1  |   42  |      0 |
| 15+  |  21845 |  1  |   43  |      0 |
| 16   |  21845 |  1  |   43  |      0 |
| 16+  |  21845 |  1  |   44  |      0 |
| 17   |  21845 |  1  |   44  |      0 |
| 17+  |  21845 |  1  |   45  |      0 |
| 18   |  21845 |  1  |   45  |      0 |
| 18+  |  21845 |  1  |   46  |      0 |
| 19   |  21845 |  1  |   46  |      0 |
| 19+  |  21845 |  1  |   47  |      0 |
| 20   |  21845 |  1  |   47  |      0 |
| 20+  |  21845 |  0  |   40  |      0 |
| 21   |  21845 |  0  |   40  |      0 |
| 21   |  21845 |  0  |   41  |      0 |
| 21   |  21845 |  0  |   42  |      0 |
| 21   |  21845 |  0  |   43  |      0 |
